,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
434,Ruben Bemelmans,Ante Pavic,2,0,Australian Open,2014,Melbourne,Australia
435,Marton Fucsovics,Daniel Evans,2,0,Australian Open,2014,Melbourne,Australia
436,Pierre-Hugues Herbert,Andrea Arnaboldi,2,1,Australian Open,2014,Melbourne,Australia
437,Potito Starace,Rui Machado,2,1,Australian Open,2014,Melbourne,Australia
438,Taro Daniel,Paul Capdeville,2,0,Australian Open,2014,Melbourne,Australia
439,Yuichi Sugita,Valery Rudnev,2,0,Australian Open,2014,Melbourne,Australia
440,Flavio Cipolla,Konstantin Kravchuk,2,1,Australian Open,2014,Melbourne,Australia
441,Damir Dzumhur,Niels Desein,2,0,Australian Open,2014,Melbourne,Australia
442,David Guez,Lorenzo Giustino,2,0,Australian Open,2014,Melbourne,Australia
443,Daniel Kosakowski,Norbert Gombos,2,0,Australian Open,2014,Melbourne,Australia
444,Vincent Millot,Jan Hernych,2,0,Australian Open,2014,Melbourne,Australia
445,Ze Zhang,Andrew Harris,2,0,Australian Open,2014,Melbourne,Australia
446,Damir Dzumhur,Dustin Brown,2,0,Australian Open,2014,Melbourne,Australia
447,Martin Klizan,Andreas Beck,2,1,Australian Open,2014,Melbourne,Australia
448,Denis Kudla,Daniel Cox,2,0,Australian Open,2014,Melbourne,Australia
449,Dusan Lajovic,Tennys Sandgren,2,0,Australian Open,2014,Melbourne,Australia
450,Ze Zhang,Diego Schwartzman,2,1,Australian Open,2014,Melbourne,Australia
451,Stephane Robert,Alexander Kudryavtsev,2,0,Australian Open,2014,Melbourne,Australia
452,Frank Dancevic,Egor Gerasimov,2,0,Australian Open,2014,Melbourne,Australia
453,Pere Riba,Oscar Hernandez,2,0,Australian Open,2014,Melbourne,Australia
454,Thomaz Bellucci,Maxime Teixeira,2,0,Australian Open,2014,Melbourne,Australia
455,Jan Hernych,Marc Gicquel,2,1,Australian Open,2014,Melbourne,Australia
456,Paul-Henri Mathieu,Marc Polmans,2,0,Australian Open,2014,Melbourne,Australia
457,Rhyne Williams,Steven Diez,2,1,Australian Open,2014,Melbourne,Australia
458,Ricardas Berankis,Gianluca Naso,2,0,Australian Open,2014,Melbourne,Australia
459,Rajeev Ram,Marco Cecchinato,2,0,Australian Open,2014,Melbourne,Australia
460,Peter Gojowczyk,Albano Olivetti,2,0,Australian Open,2014,Melbourne,Australia
461,Dominic Thiem,Rik De Voest,2,1,Australian Open,2014,Melbourne,Australia
462,Marius Copil,Kimmer Coppejans,2,1,Australian Open,2014,Melbourne,Australia
463,Wayne Odesnik,Thomas Fabbiano,2,0,Australian Open,2014,Melbourne,Australia
464,Alex Kuznetsov,Theodoros Angelinos,2,0,Australian Open,2014,Melbourne,Australia
465,Peter Polansky,Mirza Basic,2,0,Australian Open,2014,Melbourne,Australia
466,Michael Berrer,Greg Jones,2,1,Australian Open,2014,Melbourne,Australia
467,Thiemo de Bakker,Andrew Whittington,2,0,Australian Open,2014,Melbourne,Australia
468,Andrej Martin,Marco Chiudinelli,2,1,Australian Open,2014,Melbourne,Australia
469,Ruben Bemelmans,Filip Peliwo,2,0,Australian Open,2014,Melbourne,Australia
470,Daniel Evans,Liang-Chi Huang,2,0,Australian Open,2014,Melbourne,Australia
471,Pierre-Hugues Herbert,Amir Weintraub,2,1,Australian Open,2014,Melbourne,Australia
472,Potito Starace,Yuki Bhambri,2,1,Australian Open,2014,Melbourne,Australia
473,Paul Capdeville,Luke Saville,2,1,Australian Open,2014,Melbourne,Australia
474,Daniel Kosakowski,Tatsuma Ito,2,1,Australian Open,2014,Melbourne,Australia
475,Konstantin Kravchuk,Radu Albot,2,1,Australian Open,2014,Melbourne,Australia
476,Yuichi Sugita,Yasutaka Uchiyama,2,0,Australian Open,2014,Melbourne,Australia
477,Toni Androic,Matteo Viola,2,0,Australian Open,2014,Melbourne,Australia
478,Andrea Arnaboldi,James Ward,2,0,Australian Open,2014,Melbourne,Australia
479,Matthias Bachinger,Jordi Samper-Montana,2,1,Australian Open,2014,Melbourne,Australia
480,Ilija Bozoljac,Gerard Granollers,2,0,Australian Open,2014,Melbourne,Australia
481,Flavio Cipolla,Filip Krajinovic,2,0,Australian Open,2014,Melbourne,Australia
482,Enzo Couacaud,Hiroki Kondo,2,0,Australian Open,2014,Melbourne,Australia
483,Taro Daniel,Henri Laaksonen,2,0,Australian Open,2014,Melbourne,Australia
484,Niels Desein,Matt Reid,2,0,Australian Open,2014,Melbourne,Australia
