,FootballTeam,Country,City,Stadium,Capacity
310,Poli Timisoara,Romania,Timisoara,Stadion Dan Paltinisanu,"32,821"
311,--,Russia,Adler (Sochi),Fisht Olympic Stadium,"47,659"
312,FC Baltika,Russia,Kaliningrad,Kaliningrad Stadium,"35,212"
313,Rubin Kazan,Russia,Kazan,Kazan Arena,"45,000"
314,Dynamo Moscow,Russia,Khimki,Arena Khimki,"18,636"
315,FC Krasnodar,Russia,Krasnodar,FC Krasnodar Stadium,"34,291"
316,Kuban Krasnodar,Russia,Krasnodar,Stadion Kuban,"31,654"
317,--,Russia,Makhachkala,Dinamo Stadium Makhachkala,"15,200"
318,Lokomotiv Moscow,Russia,Moscow,RZD Arena,"28,800"
319,Spartak Moscow,Russia,Moscow,Otkritie Arena,"45,360"
320,CSKA Moscow,Russia,Moscow,Arena CSKA,"30,000"
321,--,Russia,Moscow,Luzhniki Stadium,"81,006"
322,FC Olimpiyets,Russia,Nizhny Novgorod,Nizhny Novgorod Stadium,"44,899"
323,FC Sibir,Russia,Novosibirsk,Spartak Stadium,"12,500"
324,--,Russia,Saint-Petersburg,Petrovsky Stadium,"21,500"
325,FC Zenit,Russia,Saint-Petersburg,Saint Petersburg Stadium,"56,196"
326,Krylia Sovetov,Russia,Samara,Cosmos Arena,"44,198"
327,Mordovia Saransk,Russia,Saransk,Mordovia Arena,"45,000"
328,FC Ural,Russia,Yekaterinburg,Ekaterinburg Arena,"45,000"
329,Spartak Vladikavkaz,Russia,Vladikavkaz,Stadion Spartak,"32,464"
330,Rotor Volgograd,Russia,Volgograd,Volgograd Arena,"45,000"
331,Aberdeen,Scotland,Aberdeen,Pittodrie Stadium,"21,412"
332,Ross County,Scotland,Dingwall,Global Energy Stadium,"6,541"
333,Dumbarton,Scotland,Dumbarton,Bet Butler Stadium,"2,025"
334,Dundee,Scotland,Dundee,Dens Park,"11,850"
335,Heart of Midlothian,Scotland,Edinburgh,Tynecastle Stadium,"20,099"
336,Hibernian,Scotland,Edinburgh,Easter Road Stadium,"20,250"
